"id","age","gender","hand","country","extra","neuro","agree","concs","open"
"5a593f89-7496-4163-b547-46c034f95d1a",46,"male","right","FR",3.09090909090909,2.5,4.1,4.3,4.6
"f1f464c9-0c8c-40a7-aa6e-b3d186dfae83",22,"male","left","FR",1.90909090909091,2.9,2.7,3.1,4.2
"78caa304-0a81-45b6-8ab2-9e9b5713520d",21,"male","right","FR",3.54545454545455,3.1,2.6,2.2,4.8
"2f516a89-c7fb-4190-a71a-4f9571dd4b75",40,"female","right","FR",3.36363636363636,2,3.3,2.8,3.9
"3da46ee0-a57b-43c0-a946-dfd5af9e3100",23,"male","right","FR",3.18181818181818,2.7,3.6,2,3.5
"55081e1d-14ac-4b41-8469-871163c0b080",23,"male","right","FR",1.63636363636364,2.8,2.7,2.6,4.1
"2cd488c0-706e-47ef-9d94-d609392fb5f5",31,"female","right","FR",3.63636363636364,3.1,4,3.3,3.3
"f9f91d05-e0a9-4829-9b8a-2a5c5b957871",23,"female","right","FR",2.09090909090909,2.7,3.2,3.3,4.7
"304cb1bb-df06-4ccc-ad56-80b20b9eac6c",16,"female","right","FR",3.81818181818182,3.8,3.5,2.7,4.6
"bc371ed6-7b1e-4382-9080-15cc0191716e",34,"male","right","FR",3.18181818181818,4.8,3.7,2.9,4.4
"92953f75-cfe0-45e3-a6e8-0ed22759b482",19,"female","right","FR",2,4.1,3.9,2.9,4
"fac1ea8a-78ec-4c5f-802a-18ca3f8098ee",34,"female","right","FR",2.45454545454545,2.3,4,4.1,3.9
"82ea22e4-c3f5-46c1-b9f0-d32a6434ad37",45,"male","right","FR",3.72727272727273,2.6,4,3.2,4.8
"52c51e12-717e-49fe-93d0-6a10d3bc1d98",25,"female","right","FR",1.90909090909091,3.7,4.3,3.4,4.5
"de1f9ca8-0070-4c5f-8ff2-627034eef1f1",18,"female","right","FR",1.72727272727273,3.9,3.6,1.9,4.1
"578bf861-34c2-4687-bc79-f6630458c64a",23,"male","right","FR",2.27272727272727,2.3,2.6,4.1,3.9
"117e6301-ccf6-4a6c-9c2e-0861fa47ceb7",17,"female","right","FR",3,4.1,3.7,2,3.4
"7eb2b334-b51d-41ba-80f5-14a4b5c70c54",30,"female","right","FR",4,4,4.5,3.2,3.7
"0d60eb97-7eaf-4b60-bc44-bf18af937bdc",19,"male","right","FR",2.72727272727273,2.4,2.3,2.6,4.3
"bf2cd193-0a7e-4575-8084-7908a67a1314",20,"male","left","FR",2.63636363636364,3.3,3.2,3.7,2.8
"6e595034-bb46-4ae7-b4ba-cd23905ee90c",47,"male","left","FR",2.45454545454545,3.7,3.1,2.2,4.5
"d403cd22-09c7-4e6c-96c1-0447e8b79aca",22,"female","right","FR",3.54545454545455,2.6,4.1,3.4,3.3
"3b66c9e9-1d29-43d6-b2d1-581954c5b2d2",22,"female","right","FR",3.09090909090909,3.1,3.7,4,4.5
"ece3ac23-6931-4924-9f5e-64f79b3c3d7c",27,"female","right","FR",2.90909090909091,1.8,3.2,3.4,4.5
"90f7d8fd-6e38-4cc7-89a7-02729ce9c89f",18,"female","right","FR",3.09090909090909,2.9,3.9,4.1,3.8
"adafe4b5-8a76-4adf-8e5a-defb175f9268",19,"female","right","FR",2.27272727272727,2.7,2.1,3.6,4.7
"0dc88310-1a5b-424f-ba1a-bdaa2f8206b0",18,"male","right","FR",2.36363636363636,3.6,3,3.1,3.4
"9e160904-109c-42ac-a16a-d28316953a10",19,"male","right","FR",2.81818181818182,2.6,3.6,2.9,3.6
"e5fb1498-7493-49a3-87bb-a1adaa354867",23,"female","right","FR",3.36363636363636,3,4.4,2.8,4.3
"64d29dd8-8569-4ff1-9586-69b86063efa0",16,"male","right","FR",2.36363636363636,2.1,3.9,3.6,4.8
"c7b30297-3b64-4ddf-b3f1-476ef5c9de0f",32,"female","right","FR",3.36363636363636,3.5,3.4,4.6,2.8
"887a815b-97b9-4dd0-9478-4266b31f6198",17,"female","right","FR",2.45454545454545,3.7,3.1,3,3.4
"bfa19aab-da0b-4f9a-bfe1-bf83d62b741a",44,"female","right","FR",3.90909090909091,2.7,3.9,3.3,3.1
"dc57c474-65ea-4725-a364-0f6d5b41cd77",18,"female","right","FR",4,3.2,4.3,3.8,3.7
"52bda8f2-68e4-49f9-9b5c-28239b75e6ab",20,"male","right","FR",3,2.1,4.1,3.1,4.3
"88f2dca6-5a71-4443-baa6-a14a56f508ba",64,"male","right","FR",2.63636363636364,2.3,4.2,3.4,4.1
"826bd158-2c9e-4dc2-a67d-d10a6b16f6ab",25,"female","left","FR",4.45454545454545,3.1,4.3,3.2,3.5
"2240d8db-02ad-459c-bb1f-8de404dc3794",25,"male","right","FR",1.90909090909091,3.3,3.4,4,3.1
"6b8b2c2a-8ce0-4f94-8d99-dbbbebfe9777",22,"male","right","FR",2.27272727272727,2,2.6,3.1,4.1
"78842f86-c7e0-40c6-950e-b6ab2ca41ecc",30,"female","right","FR",2.18181818181818,4,3,2.2,3.8
"7e10e41b-c5e1-4ecf-b82a-3884346d0073",38,"male","right","FR",1.72727272727273,3.4,3.7,1.9,4
"2f46f921-4d76-4024-8fdb-c36108b7789e",30,"female","right","FR",3.54545454545455,3.2,3.9,2.5,4.5
"23472fe8-384d-41b5-a553-f3feb9aca72e",16,"female","right","FR",2.45454545454545,3.2,4.1,2.3,4.3
"98aa2047-9159-4da4-80cf-12978fdb5dbe",24,"female","right","FR",2.90909090909091,4,4,2.4,4
"b823fa89-0a61-4f40-a9c8-31e60b93245f",20,"female","right","FR",2,3.6,3.7,2.6,3.3
"e5890b44-f349-42cf-82d8-601b69fedd7e",24,"male","right","FR",1.90909090909091,4.1,3.9,2.1,3.9
"6e302059-f16b-4b41-9b35-c88ce875f42f",17,"male","left","FR",3.81818181818182,3.6,2.2,1.7,4.5
"4836b13e-ae01-404e-9228-5a835ef63dbf",23,"female","right","FR",3.81818181818182,2.6,4.4,2.1,4
"d779e004-dda9-4abb-886b-986085630573",25,"female","right","FR",2.81818181818182,3.1,4.5,4.1,3.3
"4aa8b178-0107-433c-a34b-bdc6637b79b9",18,"male","right","FR",3,2.9,3.4,3.1,4.2
"5b830568-68dd-44f6-9c50-2ce4c1901253",21,"male","left","FR",2.36363636363636,2,3.2,3.4,3.9
"67a5049b-cff9-412a-b9ee-7c0285b2f153",26,"male","right","FR",3.63636363636364,3.3,3.9,3.8,4.8
"a1b8274d-6bef-49c4-aec0-bed7aeaa0593",20,"female","right","FR",2.18181818181818,3.9,3.2,3.2,4.3
"8fef46f8-f607-4077-8949-bd0dca0d3193",43,"male","right","FR",2.72727272727273,3.8,3.2,3.9,4.4
"16368095-3638-406c-822e-303e6284665c",20,"male","right","FR",2.90909090909091,3.2,2.8,3.8,3.1
"4902e7b2-4f69-4652-9982-c41f54e47a4a",18,"male","right","FR",3.09090909090909,2.5,3.5,2.4,3.2
"c1a7dce0-fc4f-4ae3-8be1-124ac9fb8dbb",22,"male","right","FR",4.18181818181818,2.7,3.5,2.3,3.6
"0c269791-7145-4b76-ab8f-a2fc6f63d3f2",14,"female","right","FR",2.45454545454545,3.2,2.1,3.6,4.5
